ticker,report_type,filing_date,filename,filing_id,join_date,Date,Close,Return_Short,Return_Week,Return_Month,Label_Short,Label_Week,Label_Month
INTC,10-K,2018-02-16,INTC_10-K_0000050863-18-000007.txt,0000050863-18-000007,2018-02-16,2018-02-16,38.50692367553711,0.016681296950108473,0.07791896444340844,0.11567153496324035,-1,1,1
INTC,10-K,2016-02-12,INTC_10-K_0000050863-16-000105.txt,0000050863-16-000105,2016-02-12,2016-02-12,22.833818435668945,0.004888444611396553,0.024790717485039675,0.09741638827625317,-1,-1,1
INTC,10-K,2021-01-22,INTC_10-K_0000050863-21-000010.txt,0000050863-21-000010,2021-01-22,2021-01-22,51.22207260131836,-0.021531910602664267,-0.020296615341627012,0.0779828262158446,0,-1,1
INTC,10-Q,2018-10-26,INTC_10-Q_0000050863-18-000029.txt,0000050863-18-000029,2018-10-26,2018-10-26,39.07586669921875,-0.006347046869899207,0.031079111210382697,0.04505616437500293,-1,1,-1
INTC,10-Q,2017-10-26,INTC_10-Q_0000050863-17-000048.txt,0000050863-17-000048,2017-10-26,2017-10-26,34.50865173339844,0.07376062265012763,0.1390570619647774,0.08863852324878567,1,1,1
INTC,10-Q,2021-07-23,INTC_10-Q_0000050863-21-000030.txt,0000050863-21-000030,2021-07-23,2021-07-23,48.50107192993164,0.024716882965708058,0.013584819885380713,-0.01230240206571123,1,-1,-1
INTC,10-Q,2021-04-23,INTC_10-Q_0000050863-21-000018.txt,0000050863-21-000018,2021-04-23,2021-04-23,53.8795280456543,-0.008102621069731761,-0.028865503485331376,-0.04751166349657449,-1,-1,-1
INTC,10-Q,2016-10-31,INTC_10-Q_0000050863-16-000153.txt,0000050863-16-000153,2016-10-31,2016-10-31,28.253509521484375,-0.010037618369191984,0.0023702866999852023,0.020285187797509426,-1,-1,-1
INTC,10-K,2024-01-26,INTC_10-K_0000050863-24-000010.txt,0000050863-24-000010,2024-01-26,2024-01-26,43.0731315612793,0.004352707463217682,-0.024055111858506364,-0.012233509807451944,-1,-1,-1
INTC,10-Q,2023-07-28,INTC_10-Q_0000050863-23-000069.txt,0000050863-23-000069,2023-07-28,2023-07-28,36.094295501708984,-0.028780996803708513,-0.04245393342121558,-0.09395541256341351,0,0,0
INTC,10-Q,2016-08-01,INTC_10-Q_0000050863-16-000142.txt,0000050863-16-000142,2016-08-01,2016-08-01,28.02486801147461,-0.00832125170028766,0.01307334557399792,0.027818496053454198,-1,-1,-1
INTC,10-Q,2018-04-27,INTC_10-Q_0000050863-18-000013.txt,0000050863-18-000013,2018-04-27,2018-04-27,44.566932678222656,-0.021050498016169542,0.00672526828403159,0.05746217951384572,0,-1,-1
INTC,10-Q,2022-10-28,INTC_10-Q_0000050863-22-000038.txt,0000050863-22-000038,2022-10-28,2022-10-28,27.65800666809082,-0.022015879028693737,-0.01682601347612032,0.001652120188726647,0,-1,-1
INTC,10-Q,2025-04-25,INTC_10-Q_0000050863-25-000074.txt,0000050863-25-000074,2025-04-25,2025-04-25,20.049999237060547,0.02294269373192894,0.028429008671444583,0.0,1,-1,-1
